date,Paris_weather,Paris_min,Paris_max,Paris_avg
29/01/2018,2,9,11,10.0
30/01/2018,2,8,10,9.0
31/01/2018,2,8,9,8.5
01/02/2018,3,4,7,5.5
02/02/2018,2,3,6,4.5
03/02/2018,2,3,5,4.0
04/02/2018,3,1,3,2.0
05/02/2018,2,-1,3,1.0
06/02/2018,2,-1,1,0.0
07/02/2018,2,-3,0,-1.5
08/02/2018,3,-4,1,-1.5
09/02/2018,2,-3,1,-1.0
10/02/2018,1,-1,2,0.5
11/02/2018,2,3,6,4.5
12/02/2018,3,1,5,3.0
13/02/2018,2,1,4,2.5
14/02/2018,2,1,5,3.0
15/02/2018,1,8,9,8.5
16/02/2018,2,5,9,7.0
17/02/2018,2,4,9,6.5
18/02/2018,3,4,8,6.0
19/02/2018,2,3,5,4.0
20/02/2018,2,3,7,5.0
21/02/2018,3,1,6,3.5
22/02/2018,3,0,5,2.5
23/02/2018,3,0,4,2.0
24/02/2018,3,0,5,2.5
25/02/2018,3,-1,3,1.0
26/02/2018,3,-3,0,-1.5
27/02/2018,2,-4,-2,-3.0
28/02/2018,2,-5,-1,-3.0
01/03/2018,2,-2,3,0.5
02/03/2018,2,2,8,5.0
03/03/2018,2,4,10,7.0
04/03/2018,2,5,7,6.0
05/03/2018,3,6,12,9.0
06/03/2018,2,6,11,8.5
07/03/2018,2,6,10,8.0
08/03/2018,2,7,9,8.0
09/03/2018,2,7,14,10.5
10/03/2018,2,11,15,13.0
11/03/2018,2,13,17,15.0
12/03/2018,2,10,12,11.0
13/03/2018,2,9,12,10.5
14/03/2018,3,8,13,10.5
15/03/2018,2,9,13,11.0
16/03/2018,2,9,13,11.0
17/03/2018,2,3,7,5.0
18/03/2018,2,0,2,1.0
19/03/2018,2,0,3,1.5
20/03/2018,2,2,7,4.5
21/03/2018,3,4,8,6.0
22/03/2018,2,5,8,6.5
23/03/2018,2,5,6,5.5
24/03/2018,3,5,13,9.0
25/03/2018,3,10,14,12.0
26/03/2018,3,8,13,10.5
27/03/2018,2,7,11,9.0
28/03/2018,1,7,12,9.5
29/03/2018,3,7,12,9.5
30/03/2018,2,6,10,8.0
31/03/2018,2,8,11,9.5
01/04/2018,2,8,10,9.0
02/04/2018,2,10,16,13.0
03/04/2018,2,11,14,12.5
04/04/2018,3,11,14,12.5
05/04/2018,2,9,10,9.5
06/04/2018,3,11,19,15.0
07/04/2018,2,15,20,17.5
08/04/2018,3,16,21,18.5
09/04/2018,2,12,14,13.0
10/04/2018,3,12,15,13.5
11/04/2018,3,13,18,15.5
12/04/2018,2,12,14,13.0
13/04/2018,3,13,17,15.0
14/04/2018,2,14,17,15.5
15/04/2018,2,14,17,15.5
16/04/2018,3,13,16,14.5
17/04/2018,3,15,21,18.0
18/04/2018,3,18,25,21.5
19/04/2018,3,20,27,23.5
20/04/2018,3,23,28,25.5
21/04/2018,3,21,27,24.0
